"year","race","opioid_type","std_rate","sd"
1982,"white","nonh_nonm",0.264062280215849,0.0116560506297436
1983,"white","nonh_nonm",0.271418578733998,0.0116369473353524
1984,"white","nonh_nonm",0.288785125717666,0.0120140192361741
1985,"white","nonh_nonm",0.315496573097529,0.0125234252267388
1986,"white","nonh_nonm",0.365108089554316,0.01339237963445
1987,"white","nonh_nonm",0.370863015466687,0.0134674005702509
1988,"white","nonh_nonm",0.438908021399682,0.0145473880907366
1989,"white","nonh_nonm",0.495900791928363,0.0155231530131601
1990,"white","nonh_nonm",0.455785634842043,0.014624517262479
1991,"white","nonh_nonm",0.555110035455073,0.0161822116116308
1992,"white","nonh_nonm",0.735429887348518,0.0184911640872183
1993,"white","nonh_nonm",0.965882865945676,0.0211146799656669
1994,"white","nonh_nonm",1.00222761329804,0.0214215783941737
1995,"white","nonh_nonm",1.02703978988046,0.021558826415112
1996,"white","nonh_nonm",1.08294526566047,0.0220905519217637
1997,"white","nonh_nonm",1.22614516392059,0.0234251810574971
1998,"white","nonh_nonm",1.43261060363616,0.0252700904549129
1999,"white","nonh_nonm",2.27816690315284,0.0317882350396899
2000,"white","nonh_nonm",2.31806434875933,0.0317809876970855
2001,"white","nonh_nonm",2.59782290921998,0.0335300611294198
2002,"white","nonh_nonm",3.16715727203819,0.0369493730727187
2003,"white","nonh_nonm",3.37813852521547,0.0381050724017689
2004,"white","nonh_nonm",3.47113307657416,0.03854123578676
2005,"white","nonh_nonm",3.68944982917983,0.0396218992366185
2006,"white","nonh_nonm",4.37353080357628,0.0430814123299231
2007,"white","nonh_nonm",4.65008867943484,0.0444092498031517
2008,"white","nonh_nonm",5.0700640331899,0.046311780212073
2009,"white","nonh_nonm",5.35773917242132,0.0475543632203634
2010,"white","nonh_nonm",5.77353190350773,0.0495051974258377
2011,"white","nonh_nonm",6.04513868020683,0.0506642761759809
2012,"white","nonh_nonm",5.7438559447466,0.0493497985101559
2013,"white","nonh_nonm",5.84117330059971,0.0496089174385391
2014,"white","nonh_nonm",6.68843153655982,0.0531963121216268
2015,"white","nonh_nonm",8.16442532869354,0.0590491994469058
2016,"white","nonh_nonm",11.5627724415464,0.0706152474624217
2017,"white","nonh_nonm",0.0001,0.001
